"PL_PAL_ShortDescription","PL_PAL_Identification","PL_ADD_Address1","PL_ADD_Address2","PL_ADD_Zip","PL_ADD_City","PL_ADD_Latitude","PL_ADD_Longitude"
"Yamato Tokoname Shinkai","PCJ02685","Yamato Tokoname Shinkai","Aichi-ken, Tokoname-shi, Shinkaicho 3 Chome-14","479-0837","Tokoname","34.888930","136.833931"
"Yamato Tamazutsumi center","PCJ00811","Yamato Tamadzutsumi center","Tokyo-to, Setagaya-ku, Tamazutsumi, 2 Chome-3-22","158-0087","Tokyo","35.598710","139.648985"
"Yamato Hatsudai Center","PCJ00802","Yamato Hatsudai Center","Tokyo-to, Shibuya-ku, Hatsudai, 2 Chome-28-1","151-0061","Tokyo","35.675793","139.687465"
"Yamato Yokosuka Funagura","PCJ01907","Yamato Yokosuka Funagura","Kanagawa-ken, Yokosuka-shi, Funagura 1 Chome-1-14","239-0805","Yokosuka","35.239338","139.696979"
"Yamato Nakagawa Higashiokoshi","PCJ02692","Yamato Nakagawa Higashiokoshi","Aichi-ken, Nagoya-shi, Nakagawa-ku, Higashiokoshicho 2-34-1","454-0935","Nagoya","35.121460","136.845047"
"Yamato Nakagawa Otobashi","PCJ02691","Yamato Nakagawa Otobashi","Aichi-ken, Nagoya-shi, Nakagawa-ku, Ninoshicho 1-50","454-0036","Nagoya","35.146289","136.878004"
"Keisei Shinmikawashi","PCJ02144-172510","Keisei Shinmikawashi","Tokyo-to, Arakawa-ku, Nishinippori 6 Chome-2-1","116-0013","Tokyo","35.737231","139.773961"
"Yorkmart Kohouku","PCJ03028","Yorkmart Kohouku","Kanagawa-ken, Yokohama-shi, Tsuzuki-ku, Kitayamata 5-17-5","224-0021","Yokohama","35.564743","139.584432"
"Inageya ina21 Sagami Shimokuzawa ten","PCJ01029","Inageya ina21 Sagami Shimokuzawa ten","Kanagawa-ken, Sagamihara-shi, Midori-ku, Shimokuzawa 1779","252-0134","Sagamihara","35.575810","139.336756"
"Yamato Hamanaka Arai","PCJ02646","Yamato Hamanaka Arai","Shizuoka-ken, Kosai-shi, Nakanogo Araicho 4032","431-0301","Kosai","34.705375","137.546387"
"Inageya Chibasakuragi","PCJ02355","Inageya Chibasakuragi","Chiba-ken, Chiba-shi, Wakaba-ku, Sakuragi 8 Chome-15-11","264-0028","Chiba","35.629367","140.162546"
"Inageya Matsudoshinden","PCJ02356","Inageya Matsudoshinden","Chiba-ken, Matsudo-shi, Shinden Matsudo 418-5","270-2241","Matsudo","35.791299","139.924214"
"Inageya Ageonumamina","PCJ01016","Inageya Ageonumamina","Saitama-ken, Ageo-shi, Haraichinaka 1 Chome-1-8","362-0023","Ageo","35.970200","139.622148"
"Yorkmart Isogo","PCJ03050","Yorkmart Isogo","Kanagawa-ken, Yokohama-shi, Isogo-ku, Mori 1 Chome-5-21","235-0023","Yokohama","35.398232","139.616628"
"Inageya Akitsu ekimae ten","PCJ01025","Inageya Akitsu ekimae ten","Tokyo-to, Kiyose-shi, Noshio 1 Chome-337-1","204-0004","Tokyo","35.777975","139.499594"
"Inageya Shikikashiwa","PCJ01023","Inageya Shikikashiwa","Saitama-ken, Shiki-shi, Kashiwacho 1 Chome-6-72","353-0007","Shiki","35.835748","139.575047"
"Toyo Rapid Railway Kitanarashino station","PCJ00874","Toyo Rapid Railway Kitanarashino station","Chiba-ken, Funabashi-shi, Narashinodai, 3 Chome-1","274-0063","Funabashi","35.721375","140.042190"
"Keisei Yahiro","PCJ02145-172510","Keisei Yahiro","Tokyo-to, Sumida-ku, Yahiro 6 Chome-25-20","131-0041","Tokyo","35.727330","139.828417"
"Yamato Tahara","PCJ02668","Yamato Tahara","Aichi-ken, Tahara-shi, Kanbecho, Otsubo-7-1 ","441-3415","Tahara","34.666073","137.275072"
"Yamato Tempaku Hirabari","PCJ02690","Yamato Tempaku Hirabari","Aichi-ken, Nagoya-shi, Tenpaku-ku, Nakahira 4 Chome-106","468-0014","Nagoya","35.114023","136.999472"
"Yamato Hamamatsu Nakano","PCJ02653","Yamato Hamamatsu Nakano","Shizuoka-ken, Hamamatsu-shi, Higashi-ku, Shimoishidacho 1127-6","435-0006","Hamamatsu","34.739695","137.783922"
"Yamato Hamamatsu Enshuhama","PCJ02656","Yamato Hamamatsu Enshuhama","Shizuoka-ken, Hamamatsu-shi, Minami-ku, Onjicho 524","430-0814","Hamamatsu","34.684343","137.759788"
"Inageya Aikawa Kasugadai","PCJ01028","Inageya Aikawa Kasugadai","Kanagawa-ken, Aiko-gun, Aikawa-machi, Nakatsu 1576-1","243-0303","Aiko","35.528464","139.330373"
"Inageya Sagami Otsuka","PCJ01018","Inageya Sagami Otsuka","Kanagawa-ken, Yamato-shi, Kamisoyagi 187-2","242-0029","Yamato","35.472548","139.443020"
"Yamato Nishibiwajima","PCJ02737","Yamato Nishibiwajima","Aichi-ken, Kiyosu-shi, Nishitanaka, Nagahori-73 ","452-0933","Kiyosu","35.216064","136.848611"
"Yamato Minami Motoshio","PCJ02700","Yamato Minami Motoshio","Aichi-ken, Nagoya-shi, Minami-ku, Minamino 2-228","457-0068","Nagoya","35.077956","136.929643"
"Yamato Nagaoka Kotari","PCJ02550","Yamato Nagaoka Kotari","Kyoto-fu, Nagaokakyo-shi, Kugai 1 Chome-422-1","617-0837 ","Nagaokakyo","34.911643","135.695497"
"Life Mizuto","PCJ02025","Life Mizuto","Tokyo-to, Katsushika-ku, Mizumoto 2 Chome-11-5","125-0032","Tokyo","35.786951","139.856616"
"Kansai Super Kushiro","PCJ02811","Kansai Super Kushiro","Hyogo-ken, Kawanishi-shi, Kushiro 4 Chome-2-11 ","666-0024","Kawanishi","34.804472","135.403724"
"Yamato Tatsumi","PCJ02489","Yamato Tatsumi","Osaka-fu, Osaka-shi, Ikuno-ku, Tatsuminaka 4 Chome-2-24","544-0013","Osaka","34.642779","135.549201"
"Yamato Kire Uriwari","PCJ02482","Yamato Kire Uriwari ","Osaka-fu, Osaka-shi, Hirano-ku, Setoguchi 2 Chome-2-8","547-0034","Osaka","34.625238","135.546128"
"Yamato Owari Yokosuka","PCJ02684","Yamato Owari Yokosuka","Aichi-ken, Tokai-shi, Yabumachi, Hakkaike 45","477-0034","Tokai-shi","35.007893","136.884252"
"Yamato Chita Kitaham","PCJ02683","Yamato Chita Kitaham","Aichi-ken, Chita-shi, Yawata, Iwanowaki 27-7","478-0001","Chita","34.987723","136.883249"
"Yamato Nishiharu","PCJ02741","Yamato Nishiharu","Aichi-ken, Kitanagoya-shi, Nishinoho Shimizuda 55 ","481-0033","Kitanagoya","35.245024","136.865899"
"Yorkmart Soka","PCJ02859","Yorkmart Soka","Saitama-ken, Soka-shi, Chuo 1-6-9","340-0016","Soka","35.826820","139.811892"
"Yamato Nagahara","PCJ02495","Yamato Nagahara","Osaka-fu , Osaka-shi, Hirano-ku Kawanabe Nagayoshi 3 Chome-6-4 ","547-0014","Osaka","34.597552","135.577016"
"Inageya Kawagoe Shingashi","PCJ02362","Inageya Kawagoe Shingashi","Saitama-ken, Kawagoe-shi, Sunashinden 89-1","350-1137","Kawagoe","35.889088","139.492961"
"Yamato Nagoya Tsuji","PCJ02715","Yamato Nagoya Tsuji","Aichi-ken, Nagoya-shi, Kita-ku, Tendocho 3 Chome","462-0034 ","Nagoya","35.205689","136.917162"
"Colispot Generali","PCG00398","Siege GENERALI","11/17 Avenue François Mitterrand","93210","SAINT DENIS","48.917894","2.353539"
"Yamato Kyoto Mibu","PCJ02546","Yamato Kyoto Mibu","Kyoto-fu, Kyoto-shi, Ukyo-ku, Saiinnishikotobukicho 20-4","615-0034","Kyoto","34.997917","135.729182"
"Yamato Higashisumiyo","PCJ02496","Yamato Higashisumiyo","Osaka-fu, Osaka-shi, Higashisumiyoshi-ku,Sunjiyata 6 Chome-10-24","546-0022 ","Osaka","34.605804","135.541068"
"Yamato Kyoto Kujo","PCJ02527","Yamato Kyoto Kujo","Kyoto-fu, Kyoto-shi,Minami-ku, Butsugenjicho Kamitoba 38","601-8103","Kyoto","34.969907","135.749277"
"Yamato Omiya Nanajo","PCJ02542","Yamato Omiya Nanajo","Kyoto-fu, Kyoto-shi, Minami-ku, Takahatacho 36 Kamitoba ","601-8101","Kyoto","34.972527","135.744779"
"Food Garden Miyahara Nishiguchi","PCJ02093","Food Garden Miyahara Nishiguchi","Saitama-ken, Saitama-shi, Kita-ku, Nisshin-cho 3-508-1","331-0823","Saitama","35.939017","139.606514"
"Kansai Super Imafuku","PCJ02125","Kansai Super Imafuku","Osaka-fu, Osaka-shi, Joto-ku, Imafukuhigashi 2-15-20","536-0002","Osaka","34.703198","135.559676"
"Auchan Strasbourg","PCF00111","AUCHAN STRASBOURG","Centre commercial Haute Pierre, Place André Maurois","67200","Strasbourg","48.591807","7.696183"
"Huntington Bank","USA00060","5555 Cleveland Ave",,"43231","Columbus","40.081968","-82.952989"
"Keikyu Tsurumi Ichiba eki","PCJ02135","Keikyu Tsurumi Ichiba eki","Kanagawa-ken, Yokohama-shi, Tsurumi-ku, Ichibayamatocho 7-1","230-0025","Yokohama","35.517793","139.686600"
"Keisei Shinmikawashi","PCJ02144","Keisei Shinmikawashi","Tokyo-to, Arakawa-ku, Nishinippori 6 Chome-2-1","116-0013","Tokyo","35.737231","139.773961"
"Keisei Yahiro","PCJ02145","Keisei Yahiro","Tokyo-to, Sumida-ku, Yahiro 6 Chome-25-20","131-0041","Tokyo","35.727330","139.828417"
"Keisei Higashinakayama","PCJ02148","Keisei Higashinakayama","Chiba-ken, Funabashi-shi, Higashinakayama 2 Chome-2-22","273-0036","Funabashi","35.714363","139.952851"
"Life Masuo","PCJ03026","Life Masuo","Chiba-ken, Kashiwa-shi, Masuodai 3 Chome-5-15","277-0052","Kashiwa","35.826206","139.975541"
"Life Miyauchinichome","PCJ02038","Life Miyauchinichome","Kanagawa-ken, Kawasaki-shi, Nakahara-ku, Miyauchi 2 Chome-1-1","211-0051","Kawasaki","35.587175","139.640992"
"JR Kyushu Chihaya","PCJ01631","JR Kyushu Chihaya","Fukuoka-ken, Fukuoka-shi, Higashi-ku, Chihaya 4 Chome","813-0044","Fukuoka","33.649159","130.440507"
"Kintetsu Fuse","PCJ01594","Kintetsu Fuse","Osaka-fu, Higashiosaka-shi, Chodo 1 Chome-1-18 ","577-0056","Higashiosaka","34.663871","135.563819"
"Food Garden Kushibiki","PCJ02099","Food Garden Kushibiki","Saitama-ken, Saitama-shi, Omiya-ku, Kushihiki-cho 1-779-1","330-0851","Saitama","35.915521","139.605475"
"Food Garden Shirakuwa","PCJ02091","Food Garden Shirakuwa","Saitama-ken, Saitama-shi, Sakura-ku, Shirakuwa 263-1","338-0811","Saitama","35.879520","139.603649"
"Food Garden Asakamihara","PCJ02096","Food Garden Asakamihara","Saitama-ken, Asaka-shi, Mihara 1-11-1","351-0025","Asaka","35.811753","139.576629"
"Life Okudo","PCJ02027","Life Okudo","Tokyo-to, Katsushika-ku, Okudo 3 Chome-23-19 ","124-0022","Tokyo","35.730567","139.862741"
"Life Sagamiharawakamatsu","PCJ02035","Life Sagamiharawakamatsu","Kanagawa-ken, Sagamihara-shi, Minami-ku, Wakamatsu 5 Chome-19-5","252-0334","Sagamihara","35.537276","139.423757"
"Keisei Ichikawamama","PCJ02147","Keisei Ichikawamama","Chiba-ken, Ichikawa-shi, Mama 1 Chome-11-1","272-0826","Ichikawa","35.731395","139.911591"
"Asahikawa Medical University","PCJ02072","Asahikawa Medical University","Hokkaido, Asahikawa-shi, Midorigaoka Higashi 1 Chome-1-1 2 Jo","078-8802","Asahikawa","43.729850","142.384415"
"Keisei Edogawa","PCJ02146","Keisei Edogawa","Tokyo-to, Edogawa-ku, Kitakoiwa 3 Chome-24-15","133-0051","Tokyo","35.737736","139.896153"
"Big-A Sagamihara Sonan","PCJ02911","Big-A Sagamihara Sonan","Kanagawa-ken, Sagamihara-shi, Minami-ku, Sonan 4-23-15","252-0312","Sagamihara","35.512987","139.426032"
"Big-A Nishikawaguchi","PCJ02897","Big-A Nishikawaguchi","Saitama-ken, Kawaguchi-shi, Nishikawaguchi 6 Chome-4-1","332-0021","Kawaguchi","35.809523","139.702136"
"Yamato Seto Hatayama","PCJ02736","Yamato Seto Hatayama","Aichi-ken, Seto-shi, Fukumotocho 20","489-0935","Seto","35.206628","137.080754"
"Leopalace 21 Miranday","PCJ03031","Leopalace 21 Miranday","Kanagawa-ken, Yokohama-shi, Isogo-ku, Yokodai 4 Chome-40-2 ","235-0045","Yokohama","35.379329","139.601680"
"Saisaikan Yonofood","PCJ02089","Saisaikan Yonofood","Saitama-ken, Saitama-shi, Chuo-ku, Shimoochiai 1027 ","338-0002","Saitama","35.885195","139.636298"
"Yamato Seto Kamimatsuyama","PCJ02735","Yamato Seto Kamimatsuyama","Aichi-ken, Seto-shi, Kamimatsuyamacho, 1 Chome-47 ","489-0068","Seto","35.232487","137.080882"
"Yamato Takeshirodai","PCJ02483","Yamato Takeshirodai","Osaka-fu, Sakai-shi, Minami-ku, Toyoda, 625","590-0106","Sakai","34.500778","135.492394"
"Takasaki City University of Economics ","PCJ02869","Takasaki City University of Economics ","Gunma-ken, Takasaki-shi, Kaminamiemachi 1300","370-0801","Takasaki","36.345742","138.978762"
"Big-A Adachi-ogi","PCJ02896","Big-A Adachi-ogi","Tokyo-to, Adachi-ku, Ogi 2 Chome-39-12","123-0873","Tokyo","35.767572","139.768991"
"Yamato Konan Hidaka","PCJ02729-171711","Yamato Konan Hidaka","Aichi-ken, Konan-shi, Takayachoasahi, 22","483-8065","Konan","35.348500","136.875197"
"Yorkmart Koshigayaha","PCJ02814","Yorkmart Koshigayaha","Saitama-ken, Koshigaya-shi, Hanata 2 Chome-2-3","343-0015","Koshigaya","35.910923","139.796929"
"Keihan Kourien","PCJ02802","Keihan Kourien","Osaka-fu, Neyagawa-shi, Minaminocho Kori 19-1","572-0084","Neyagawa","34.784565","135.630948"
"Big-A Abiko-midori","PCJ02909","Big-A Abiko-midori","Chiba-ken, Abiko-shi, Midori 2 Chome-11-41","270-1153","Abiko","35.866333","140.019631"
"Welcia Sakuranishizu","PCJ02463","Welcia Sakuranishizu","Chiba-ken, Sakura-shi, Nishishizu 2 Chome-22","285-0845","Sakura","35.713538","140.132305"
"Yamato Iwakura Yatsu","PCJ02728","Yamato Iwakura Yatsu","Aichi-ken, Iwakura-shi, Yatsurugicho, Gorin-434-2 ","482-0031","Iwakura","35.288409","136.876314"
"Okusumi Saketen","PCJ02273","Okusumi Saketen","Saitama-ken, Saitama-shi, Chuo-ku, Shimoochiai 5 Chome-2-1 ","338-0002","Saitama","35.884219","139.630551"
"Welcia Nissai Hanamizu","PCJ02282","Welcia Nissai Hanamizu","Saitama-ken, Sakado-shi, Nissaihanamizuki 4 Chome-18-1","350-0269","Sakado","35.971230","139.366748"
"Foodgarden Ageonakazuma","PCJ02095","Foodgarden Ageonakazuma","Saitama-ken, Ageo-shi,Nakazuma 3 Chome-11-5","362-0072","Ageo","35.983995","139.570333"
"Yamato Komakihara","PCJ02733","Yamato Komakihara","Aichi-ken, Komaki-shi, Komakihara Shinden, 882-1","485-0012","Komaki","35.299551","136.927623"
"Yamato Kitahanada","PCJ02488","Yamato Kitahanada","Osaka-fu, Sakai-shi, Kita-ku, Kitahanadacho, 4-89-23","591-8002","Sakai","34.582809","135.519800"
"Foodgarden Nisshin","PCJ02098","Foodgarden Nisshin","Saitama-ken, Saitama-shi, Kita-ku, Nisshincho 2 Chome-1059-1","331-0823","Saitama","35.929085","139.605856"
"Yamato Kanaoka","PCJ02500","Yamato Kanaoka","Osaka-fu, Sakai-shi, Kita-ku, Kanaokacho 2013-1 ","591-8022 ","Sakai","34.553518","135.518734"
"Foodgarden Miyahara","PCJ02094","Foodgarden Miyahara","Saitama-ken, Saitama-shi, Kita-ku, Miyaharacho 2 Chome-88-3","331-0812","Saitama","35.943264","139.616932"
"Big-A Sakura Yurigaoka","PCJ00369","Big-A Sakura Yurigaoka","Chiba-ken, Sakura-shi, Eucalyptus Gaoka 2-32-5","285-0858","Sakura","35.728087","140.155344"
"Food Garden Tozakaangyo","PCJ02097","Food Garden Tozakaangyo","Saitama-ken, Kawaguchi-shi, Shinden Chozo 757-1","333-0808","Kawaguchi","35.858626","139.753326"
"Yamato Ichijoin","PCJ02485","Yamato Ichijoin","Osaka-fu, Izumi-shi, Ichijoincho 128-1","594-0054","Izumi","34.481875","135.440656"
"Keihan Makino","PCJ02803","Keihan Makino","Osaka-fu, Hirakata-shi, Makinosaka 2 Chome-4-2 ","573-1146","Hirakata","34.843532","135.665462"
"Yamato Nisshin Kaguyama","PCJ02739","Yamato Nisshin Kaguyama","Aichi-ken, Nisshin-shi, Komenokicho, Yashita-116-1 ","470-0111","Nisshin","35.131935","137.058459"
"Yamato Gotenba Itazuma","PCJ02616","Yamato Gotenba Itazuma","Shizuoka-ken, Gotenba-shi, Itazuma 37-59","412-0048","Gotenba","35.286953","138.901152"
"Yamato Gotemba Yamanoshiri","PCJ02617","Yamato Gotemba Yamanoshiri","Shizuoka-ken, Gotenba-shi, Yamanoshiri 1047-1","412-0018","Gotenba","35.324933","138.931459"
"Yamato Kannami Tsukamoto","PCJ02631","Yamato Kannami Tsukamoto","Shizuoka-ken, Tagata-gun, Kannami-cho, Hita 315-1","419-0125","Tagata","35.070755","138.941527"
"Yamato Tajimi Taihei","PCJ02745","Yamato Tajimi Taihei","Gifu-ken, Tajimi-shi, Taiheicho 1 Chome-30","507-0041","Tajimi","35.334378","137.113781"
"Yamato Numazu Matsunaga","PCJ02633","Yamato Numazu Matsunaga","Shizuoka-ken, Numazu-shi, Matsunaga 803-1","410-0874","Numazu","35.117088","138.829064"
"Yamato Hamamatsu Takaoka","PCJ02649","Yamato Hamamatsu Takaoka","Shizuoka-ken, Hamamatsu-shi, Naka-ku, Takaokanishi 2 Chome-32-71 ","433-8118","Hamamatsu","34.758923","137.701675"
"Pasarzio Nishiarai","PCJ02895","Pasarzio Nishiarai","Tokyo-to, Adachi-ku, Nishiaraisakaecho 1 Chome-17-1","123-0843","Tokyo","35.775415","139.789565"
"JRE Musashi Koganei","PCJ02122","JRE Musashi Koganei","Tokyo-to, Koganei-shi, Honcho 6 Chome 14-29","184-0004","Tokyo","35.701150","139.506175"
"JRE Musashi Sakai eki","PCJ02124","JRE Musashi Sakai eki","Tokyo-to, Musashino-shi, Kyonancho 2 Chome 1-12","180-0023","Musashino","35.702083","139.543833"
"Keisei Dentetsu Aoto station ","PCJ01483","Keisei Dentetsu Aoto station ","Tokyo-to, Katsushika-ku, Aoto 3 Chome-36","125-0062","Katsushika","35.745985","139.856219"
"Yamato Neito Gokuraku","PCJ02723","Yamato Neito Gokuraku","Aichi-ken, Nagoya-shi, Meito-ku, Gokuraku 4 Chome-302-2","465-0053","Nagoya","35.157193","137.019217"
"Comoda Iida Minamihatogaya","PCJ02876","Comoda Iida Minamihatogaya","Saitama-ken, Kawaguchi-shi, Minamihatogaya 6 Chome-17-9","334-0013","Kawaguchi","35.819608","139.730844"
"Comodi Iida Rikkyoudo","PCJ02875","Comodi Iida Rikkyoudo","Tokyo, Toshima, Nishiikebukuro 5 Chome-22-21","171-0021","Toshima","35.730567","139.699797"
"Comodi Iida Seiseki","PCJ02874","Comodi Iida Seiseki","Tokyo-to, Tama-shi, Wada 1849-1","206-0001","Tama","35.647179","139.435511"
"Yamato Moriyama Koshin","PCJ02720","Yamato Moriyama Koshin","Aichi-ken, Nagoya-shi, Moriyama-ku, Koshin 2 Chome-414 ","463-0079","Nagoya","35.210645","136.945975"
"Welcia Midorigaoka","PCJ02467","Welcia Midorigaoka","Chiba-ken, Yachiyo-shi, Shinden Owada 1031-1","276-0046","Yachiyo","35.723563","140.070860"
"Yamato Fukuroi Yamashina","PCJ02658","Yamato Fukuroi Yamashina","Shizuoka-ken, Fukuroi-shi, Yamashina 3108-3","437-0066","Fukuroi","34.764469","137.903643"
"Yamato Minami Chuji","PCJ02699","Yamato Minami Chuji","Aichi-ken, Nagoya-shi, Minami-ku, Chuji, 1 Chome-2-1","457-0843","Nagoya","35.102275","136.916927"
"Comodi Iida Kitakasai","PCJ03027","Comodi Iida Kitakasai","Tokyo-to, Edogawa-ku, Kitakasai 4 Chome","134-0081","Tokyo","35.671409","139.864856"
"Hackdrug Machidaoyama","PCJ03041","Hackdrug Machidaoyama","Tokyo-to, Machida-shi, Oyamagaoka 5 Chome-3","194-0215","Machida","35.603353","139.362875"
"Y Value Yoshinocho","PCJ02092","Y Value Yoshinocho","Saitama-ken, Saitama-shi, Kita-ku, Yoshinocho 2 Chome-194-2","331-0811","Saitama","35.958681","139.601134"
"Seibu Properties Iruma Pepe","PCJ00959","Seibu Properties Iruma Pepe","Saitama-ken, Iruma-shi, Kawaramachi 2-1","358-0008","Iruma","35.841285","139.389151"
"Big-A Naganumamachi","PCJ02902","Big-A Naganumamachi","Tokyo-to, Hachioji-shi, Naganumamachi 943-9","192-0907","Tokyo","35.641932","139.361583"
"Yaomasa Mamonomiyaten","PCJ02240","Yaomasa Mamonomiyaten","Kanagawa-ken, Odawara-shi, Kamonomiya 639-1","250-0874","Odawara","35.279627","139.176551"
"Tsutaya Hotaruda ten","PCJ02241","Tsutaya Hotaruda ten","Kanagawa-ken, Odawara-shi, Iidaoka 40-1","250-0854","Odawara","35.288815","139.149425"
"Yaomasa Ooimachi","PCJ02238","Yaomasa Ooimachi","Kanagawa-ken, Ashigarakami-gun, Ooi-machi, Kaneko 312","258-0019","Ashigarakami","35.337024","139.151609"
"Yaomasa Minami Ashigara ten","PCJ02242","Yaomasa Minami Ashigara ten","Kanagawa-ken, Minamiashigara-shi, Nuda 2805-2","250-0106","Minamiashigara","35.329028","139.106560"
"Shinsenkan Odawara","PCJ02239","Shinsenkan Odawara","Kanagawa-ken, Odawara-shi, Nishiodomo 130","250-0212","Odawara","35.304351","139.166784"
"JRE Higashi Koganei eki","PCJ02121","JRE Higashi Koganei eki","Tokyo-to, Koganei-shi, Kajinocho 5 Chome 1-1","184-0002","Tokyo","35.701591","139.524166"
"Seibu properties Hanno Pepe","PCJ01544","Seibu properties Hanno Pepe","Saitama-ken, Hanno-shi, Nakamachi 11-21","357-0038","Hanno","35.850956","139.319223"
"Keisei  Mimomi","PCJ02151","Keisei  Mimomi","Chiba-ken, Narashino-shi, Mimomi 1 Chome 1-1","275-0002","Narashino","35.686828","140.068409"
"JR Kunitachieki","PCJ02123","JR Kunitachieki","Tokyo-to,  Kunitachi-shi, Kita 1 Chome-14-22","186-0001","Tokyo","35.699312","139.446377"
"Keisei Keiseiusui","PCJ02152","Keisei Keiseiusui","Chiba-ken, Sakura-shi, Ojidai 3 Chome-30-3 ","285-0837","Sakura","35.729873","140.180798"
"Keisei Dentetsu Keisei Takasago station","PCJ01484","Keisei Dentetsu Keisei Takasago station","Tokyo-to, Katsushika-ku, Takasago 5 Chome-28","125-0054","Tokyo","35.750957","139.867196"
"Big-A Yokohama Hongo","PCJ02912","Big-A Yokohama Hongo","Kanagawa-ken, Yokohama-shi, Sakae-ku, Hongodai 2 Chome-31-26","247-0008","Yokohama","35.372088","139.545784"
"Big-A Yokohama Maruyamadai","PCJ02899","Big-A Yokohama Maruyamadai","Kanagawa-ken, Yokohama-shi, Konan-ku, Maruyamadai 1 Chome-15-4","233-0013","Yokohama","35.401248","139.570496"
"Big-A Mitaka Shinkawa","PCJ02903","Big-A Mitaka Shinkawa","Tokyo-to, Mitaka-shi, Shinkawa 2 Chome-17-7","181-0004","Mitaka","35.676426","139.573318"
"Comodi Iida Harumatsu","PCJ02873","Comodi Iida Harumatsu","Saitama-ken, Kawaguchi-shi, Haematsu 301-1","334-0062","Kawaguchi","35.820793","139.768885"
"Big-A Higashikurume Kanayamacho","PCJ02907","Big-A Higashikurume Kanayamacho","Tokyo-to, Higashikurume-shi, Kanayamacho 2 Chome-7-41 ","203-0003","Tokyo","35.766976","139.541444"
"Comodi Iida Nanasato","PCJ02871","Comodi Iida Nanasato","Saitama-ken, Saitama-shi, Minuma-ku, Higashimonzen 55-1","337-0016","Saitama","35.933072","139.664895"
"Big-A Higashikurume Shimosato","PCJ02908","Big-A Higashikurume Shimosato","Tokyo-to, Higashikurume-shi, Shimosato 2 Chome-16-20 ","203-0043","Higashikurume","35.752173","139.506110"
"Big-A Kamagaya Kitahatsutomi","PCJ02904","Big-A Kamagaya Kitahatsutomi","Chiba-ken, Kamagaya-shi, Kitahatsutomi 2-5","273-0126","Kamagaya","35.776390","139.993215"
"Yamato Takahama Futa","PCJ02667","Yamato Takahama Futa","Aichi-ken, Takahama-shi, Futatsuikecho 5-1-1","444-1322","Takahama","34.915117","136.990592"
"Yamato Mie Kawagoe","PCJ02710","Yamato Mie Kawagoe","Mie-ken, Mie-gun, Asahi-cho, Nao 368-2","510-8101","Mie","35.035451","136.673811"
"Yamato Chiryu","PCJ02679","Yamato Chiryu","Aichi-ken, Chiryu-shi, Nanyo 2-125","472-0004","Chiryu","34.997485","137.058412"
"Yamato Tsu Shiratsuka","PCJ02711","Yamato Tsu Shiratsuka","Mie-ken, Tsu-shi, Shiratsukacho 3975","514-0101","Tsu","34.766456","136.526758"
"Yamato Kozoji New Town Center","PCJ02730","Yamato Kozoji New Town Center","Aichi-ken, Kasugai-shi, Kibukicho, 2 Chome 12-1","487-0014","Kasugai","35.262422","137.029917"
"Yamato Minato Touchi","PCJ02698","Yamato Minato Touchi","Aichi-ken, Nagoya-shi, Minato-ku, Takagicho 2 Chome 19","455-082","Nagoya","35.104116","136.848855"
"Yamato Kasugai Nyoisarucho","PCJ02732","Yamato Kasugai Nyoisarucho","Aichi-ken, Kasugai-shi, Minomachi 1 Chome-96","486-0917","Kasugai","35.243001","136.938082"
"Yamato Toyota Tsutsumi Center","PCJ02673","Yamato Toyota Tsutsumi Center","Aichi-ken, Toyota-shi, Tsutsumicho, Teraikekami 63-3","473-0932","Toyota","35.044653","137.099538"
"Yamato Okazaki Daijuji","PCJ02677","Yamato Okazaki Daijuji","Aichi-ken, Okazaki-shi, Daijuuji 3 Chome-12-6","444-2134","Okazaki","34.981393","137.159899"
"Yamato Okazaki Miai","PCJ02676","Yamato Okazaki Miai","Aichi-ken, Okazaki-shi, Onishicho, Minamigahara-12-71","444-0811","Okazaki","34.933132","137.181332"
"Yamato Nakagawa Yoshizu","PCJ02686","Yamato Nakagawa Yoshizu","Aichi-ken, Nagoya-shi, Nakagawa-ku, Yoshizu 4 Chome-2001","454-0981","Nagoya","35.147929","136.820427"
"Yamato Handa Yamashi","PCJ02701","Yamato Handa Yamashi","Aichi-ken, Handa-shi, Yamashirocho, 1 Chome-106-4","475-0974","Handa","34.890073","136.907240"
"Yamato Tenpaku Ueda","PCJ02688","Yamato Tenpaku Ueda","Aichi-ken, Nagoya-shi, Tenpaku-ku, Ueda 3 Chome-508","468-0051","Nagoya","35.128529","136.991516"
"Yamato Toyohashi Nishimiyuki","PCJ02674","Yamato Toyohashi Nishimiyuki","Aichi-ken, Toyohashi-shi, Nishimiyukicho, Hamaike-118-1","441-8113","Toyohashi","34.728520","137.407608"
"Yaoko Ogawa Shopping Center","PCJ02472","Yaoko Ogawa Shopping Center","Saitama-ken, Hiki-gun, Ogawa-machi, Otsuka 1152-1","355-0328","Hiki","36.058093","139.259225"
"Comodi Iida Sakadonissai","PCJ02870","Comodi Iida Sakadonissai","Saitama-ken, Sakado-shi, Nissaihanamizuki 4 Chome-16","350-0269","Sakado","35.969361","139.366528"
"Comodi Iida Shingashi","PCJ02872","Comodi Iida Shingashi","Saitama-ken, Kawagoe-shi, Suna 944-1","350-1133","Kawagoe","35.890112","139.498938"
